id,lat,long,date,weekday,time,priority
160,32.5149,-117.0382,01/03/2014,Viernes,08:23:00 am,4
162,32.5404,-117.017,01/03/2014,Viernes,03:33:00 pm,4
164,32.5149,-117.0382,01/03/2014,Viernes,01:45:00 pm,2
165,32.5149,-117.0382,01/03/2014,Viernes,12:49:00 pm,4
166,32.4669,-116.9131,01/03/2014,Viernes,06:28:00 am,4
167,32.4768,-116.8487,01/03/2014,Viernes,07:47:00 am,4
168,32.5149,-117.0382,01/03/2014,Viernes,08:44:00 am,4
169,32.5149,-117.0382,01/03/2014,Viernes,11:57:00 am,3
170,32.5149,-117.0382,01/03/2014,Viernes,07:20:00 pm,3
171,32.5149,-117.0382,01/03/2014,Viernes,05:22:00 pm,4
172,32.525,-117.0431,01/03/2014,Viernes,07:08:00 pm,4
173,32.5385,-117.0379,01/03/2014,Viernes,10:59:00 pm,4
174,32.5106,-117.0502,01/03/2014,Viernes,09:35:00 pm,3
175,32.5291,-117.033,01/03/2014,Viernes,08:27:00 pm,4
176,32.5071,-116.9685,01/04/2014,Sabado,12:48:00 am,4
177,32.5149,-117.0382,01/03/2014,Viernes,04:15:00 pm,2
178,32.5149,-117.0382,01/03/2014,Viernes,10:39:00 pm,4
179,32.4972,-117.0541,01/04/2014,Sabado,01:55:00 am,3
180,32.5214,-116.9439,01/03/2014,Viernes,06:26:00 am,4
181,32.5182,-116.9168,01/03/2014,Viernes,07:47:00 am,4
182,32.4979,-116.9124,01/03/2014,Viernes,09:31:00 am,4
183,32.4812,-117.0315,01/03/2014,Viernes,11:02:00 am,4
184,32.4847,-116.9361,01/03/2014,Viernes,12:13:00 pm,4
185,32.4938,-117.0451,01/03/2014,Viernes,01:08:00 pm,4
186,32.4966,-116.8866,01/03/2014,Viernes,02:08:00 pm,3
187,32.5124,-116.9111,01/03/2014,Viernes,07:30:00 am,4
188,32.5025,-116.9901,01/03/2014,Viernes,11:47:00 am,NaN
189,32.5149,-117.0382,01/03/2014,Viernes,01:31:00 pm,NaN
190,32.4898,-117.0625,01/03/2014,Viernes,02:14:00 pm,3
191,32.4929,-116.8994,01/04/2014,Sabado,03:49:00 am,3
192,32.5149,-117.0382,01/03/2014,Viernes,07:10:00 am,3
196,32.5268,-117.0926,01/03/2014,Viernes,02:08:00 pm,3
198,32.5231,-116.9429,01/03/2014,Viernes,07:50:00 pm,4
199,32.5149,-117.0382,01/03/2014,Viernes,09:49:00 pm,4
200,32.5082,-116.9542,01/03/2014,Viernes,11:21:00 pm,2
201,32.5149,-117.0382,01/03/2014,Viernes,08:32:00 am,3
202,32.5253,-117.0182,01/03/2014,Viernes,08:45:00 pm,4
203,32.5153,-117.0456,01/03/2014,Viernes,11:42:00 am,NaN
204,32.5145,-116.9145,01/03/2014,Viernes,01:42:00 pm,3
206,32.5135,-117.0819,01/03/2014,Viernes,07:03:00 pm,NaN
207,32.5284,-117.0581,01/03/2014,Viernes,06:09:00 pm,4
208,32.5117,-117.0537,01/03/2014,Viernes,10:34:00 pm,4
209,32.4686,-116.8683,01/03/2014,Viernes,07:47:00 am,4
210,32.4713,-116.836,01/03/2014,Viernes,08:12:00 am,4
211,32.5002,-117.0426,01/03/2014,Viernes,09:14:00 am,4
212,32.4764,-116.8561,01/03/2014,Viernes,10:18:00 pm,4
213,32.5032,-116.8777,01/03/2014,Viernes,11:47:00 pm,3
214,32.5149,-117.0382,01/03/2014,Viernes,12:45:00 pm,4
215,32.4776,-116.9147,01/03/2014,Viernes,02:10:00 pm,1
216,32.5256,-116.9429,01/03/2014,Viernes,03:17:00 pm,3
217,32.5149,-117.0382,01/03/2014,Viernes,06:46:00 pm,3
218,32.4574,-116.8876,01/04/2014,Sabado,11:25:00 pm,4
219,32.4523,-116.8404,01/04/2014,Sabado,01:28:00 am,4
220,32.4622,-116.8778,01/03/2014,Viernes,11:32:00 pm,4
221,32.4919,-116.8688,01/03/2014,Viernes,05:12:00 pm,NaN
222,32.5162,-116.8658,01/04/2014,Sabado,05:50:00 am,1
224,32.5149,-117.0382,01/04/2014,Sabado,06:39:00 am,4
226,32.5149,-117.0382,01/04/2014,Sabado,09:18:00 am,2
227,32.49,-116.9279,01/04/2014,Sabado,10:57:00 am,4
